Model,Accuracy,Precision,Recall,F1 Score
LightGBM,73.83000437381543,75.56372940988325,69.61838809488728,72.46932515337423
XGBoost,73.78626621956553,75.58941459502807,69.44157949020186,72.38519428659193
Voting Ensemble,73.5602857559411,75.27191298784389,69.33844113746869,72.18344965104686
Random Forest,73.34888467706662,75.3276168904708,68.60173861794607,71.80752621838371
SVM,73.13019390581718,74.4906018006634,69.48578164137321,71.90120445189817
Logistic Regression,73.10832482869223,74.19556388628553,69.98673935464859,72.02972173781181
KNN,72.13879574281965,73.09549774108116,69.13216443200236,71.05860972285325
Decision Tree,72.0440297419449,72.95489891135303,69.11743038161191,70.98433835212226
Extra Trees,70.19973757107451,70.320734829092,68.8080153234124,69.55615132558832
